init,rho,final_logtau,final_lambda2,union_edges,mean_rounds,pct_converged,pct_cycled,mean_recip_failure,mean_epsilon
cold,0.0,-inf,0.0,0,1.0,100.0,0.0,0.0,0.0
cold,0.25,3030.7591904977785,0.12277293343818133,6072,5.428571428571429,0.0,100.0,0.4365092782216381,3.614897611357591
cold,0.5,3073.957770704537,0.13032200977660244,6290,5.285714285714286,0.0,100.0,0.43841691319724235,3.6719439859134475
cold,0.75,3001.077328516208,0.12436676129728216,6030,4.857142857142857,0.0,100.0,0.4938026503002055,3.8078423718898793
cold,0.9,2846.182992614767,0.10343604740913502,5503,4.285714285714286,0.0,100.0,0.5508863218729662,3.86056686016583
cold,1.0,796.2236680178862,0.0,2049,2.0,100.0,0.0,0.8041168505592734,6.4816383548352645
warm,0.0,-inf,0.0,0,1.0,100.0,0.0,0.0,0.0
warm,0.25,2811.233003415166,0.10397045225866597,5320,8.714285714285714,0.0,100.0,0.33178141288273455,3.80650852682841
warm,0.5,2875.287687512386,0.11109595007414998,5516,7.857142857142857,0.0,100.0,0.3870388020395676,4.028324786357404
warm,0.75,2866.5009078048674,0.11609335344136124,5522,6.142857142857143,0.0,100.0,0.47700100635077947,3.8257647719389554
warm,0.9,2842.8555314300233,0.10588785981744162,5526,5.142857142857143,0.0,100.0,0.5465160378877295,3.824530588339718
warm,1.0,796.2236680178862,0.0,2049,2.0,100.0,0.0,0.8041168505592734,6.4816383548352645
-,game,3807.3959026287816,0.21235837435447713,9504,,,,,
-,centralized,4211.516483367873,0.2193583561279965,12115,,,,,
