alpha,final_union_lambda2,union_edges,mean_snapshot_edges,mean_snapshot_lambda2
0.5,0.21235837435447744,9504,2376.0,0.005802306938596757
2.0,0.13349825275617566,7128,2331.4285714285716,0.004636743195546221
5.0,0.10117665810896165,5832,2341.714285714286,0.0044476080853404
10.0,0.08558812673819062,5544,2334.8571428571427,0.0050451167688397285
furthest,0.22112210934672538,7149,2598.0,0.03986423529958353
